Shooter height (m),Shooter angle(degree),Spring constant (N/m),Retraction distance (m),Target Distance (m),Initial speed (m/s),Ball distance (m),Time (s)
0.47,45,566,0.13,2.04,4.409,2.04,0.654
0.47,45,566,0.13,2.47,4.409,2.04,0.654
0.47,45,566,0.143,2.47,4.868,2.475,0.719
0.47,45,566,0.13,2.04,4.409,2.04,0.654
0.47,45,566,0.13,2.37,4.409,2.04,0.654
0.47,45,566,0.14,2.37,4.761,2.369,0.704
0.47,45,643.6,0.14,2.37,5.1,2.71,0.752
0.47,45,643.6,0.132,2.37,4.814,2.421,0.711
0.47,45,643.6,0.129,2.37,4.7,2.31,0.695
0.47,45,650.8,0.129,2.37,4.728,2.337,0.699
0.47,45,643.6,0.129,2.37,4.7,2.31,0.695
0.47,45,643.6,0.131,2.37,4.757,2.365,0.703
0.47,45,643.6,0.131,2.53,4.757,2.365,0.703
0.47,45,643.6,0.134,2.53,4.871,2.478,0.719
0.47,45,643.6,0.135,2.53,4.929,2.535,0.727
0.47,45,100,0.13,2.04,1.453,0.264,0.257
0.47,45,100,0.2,2.04,2.516,0.7,0.394
0.47,45,100,0.13,2.04,1.453,0.264,0.257
0.47,45,384.4,0.2,2.04,5.6,3.256,0.822
0.47,45,211.6,0.2,2.04,4.019,1.705,0.6
0.47,45,146.8,0.2,2.04,3.232,1.122,0.491
0.47,45,190.0,0.2,2.04,3.775,1.51,0.566
0.47,45,254.8,0.2,0.5,4.467,2.093,0.662
0.47,45,566.36,0.13,2.79,4.411,2.042,0.655
0.47,45,566.36,0.152,2.79,5.192,2.807,0.765
0.47,45,566.36,0.13,2.04,4.411,2.042,0.655
0.47,45,566.36,0.13,2.37,4.411,2.042,0.655
0.47,45,566.36,0.14,2.37,4.763,2.371,0.704
0.47,45,566.36,0.13,2.04,4.411,2.042,0.655
0.47,45,566.36,0.13,2.31,4.411,2.042,0.655
0.47,45,566.36,0.138,2.31,4.709,2.319,0.696
0.47,45,566.36,0.13,2.04,4.411,2.042,0.655
0.47,45,566.36,0.13,2.04,4.411,2.042,0.655
0.47,45,566.36,0.13,2.25,4.411,2.042,0.655
0.47,45,566.36,0.137,2.25,4.655,2.268,0.689
0.47,45,566.36,0.13,2.04,4.411,2.042,0.655
0.47,45,566.36,0.13,2.33,4.411,2.042,0.655
0.47,45,566.36,0.138,2.33,4.709,2.319,0.696
0.47,53.448,566.36,0.138,2.33,4.684,2.184,0.783
0.47,53.448,566.36,0.143,2.33,4.845,2.334,0.809
0.55,45,566.36,0.13,2.04,4.411,2.115,0.678
0.55,45,566.36,0.128,2.04,4.333,2.045,0.667
0.55,89,566.36,0.128,2.04,4.257,0.067,0.899
0.55,82.312,566.36,0.128,2.04,4.259,0.509,0.893
0.55,74.568,566.36,0.128,2.04,4.266,0.989,0.871
0.55,57.672,566.36,0.128,2.04,4.297,1.786,0.777
0.47,89,1000,0.13,2.04,5.909,0.125,1.215
0.47,89,1000,0.183,2.04,8.374,0.25,1.714
0.47,45,566.36,0.13,2.04,4.411,2.042,0.655
0.47,45,100,0.13,2.04,1.453,0.264,0.257
0.47,45,100,0.2,2.04,2.516,0.7,0.394
0.47,45,362.8,0.2,2.04,5.428,3.062,0.798
0.47,45,254.8,0.2,2.04,4.467,2.093,0.662
0.47,45,226.0,0.2,2.04,4.174,1.834,0.621
0.47,62.6,100,0.2,2.04,2.387,0.504,0.459
0.47,35.144,100,0.2,2.04,2.606,0.728,0.342
0.47,89,566.36,0.13,2.77,4.335,0.068,0.897
0.47,89,1000,0.13,2.77,5.909,0.125,1.215
0.47,45,566.36,0.13,2.04,4.411,2.042,0.655
0.47,45,566.36,0.155,2.04,5.3,2.922,0.78
0.47,45,1000,0.13,2.04,5.965,3.686,0.874
0.47,45,566.36,0.13,2.04,4.411,2.042,0.655
0.47,45,566.36,0.13,2.04,4.411,2.042,0.655
0.47,45,566.36,0.13,2.04,4.411,2.042,0.655
0.47,45,566.36,0.13,2.04,4.411,2.042,0.655
0.47,45,566.36,0.13,2.04,4.411,2.042,0.655
0.47,72.456,1000,0.13,2.04,5.918,2.071,1.161
0.47,72.456,1000,0.13,3,5.918,2.071,1.161
0.47,89,1000,0.13,3,5.909,0.125,1.215
0.47,85.128,1000,0.13,3,5.91,0.608,1.211
0.47,85.128,1000,0.2,3,9.195,1.464,1.874
0.47,80.2,1000,0.2,3,9.197,2.902,1.854
0.47,78.088,1000,0.2,3,9.198,3.496,1.841
0.47,80.2,1000,0.2,3,9.197,2.902,1.854
0.47,75.976,1000,0.2,3,9.2,4.071,1.826
0.47,81.608,1000,0.2,3,9.196,2.498,1.861
0.47,45,566.36,0.13,2.04,4.411,2.042,0.655
0.47,80.904,1000,0.13,2.04,5.911,1.122,1.2
0.47,80.904,1000,0.2,2.04,9.196,2.701,1.858
0.47,80.904,1000,0.173,2.04,7.948,2.02,1.608
0.47,78.792,1000,0.2,2.04,9.197,3.3,1.846
0.47,78.792,1000,0.2,2.19,9.197,3.3,1.846
0.47,78.792,1000,0.164,2.19,7.521,2.211,1.512
0.47,45,566.36,0.13,2.04,4.411,2.042,0.655
